"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Age Groups"	"Age Groups Code"	"States"	"States Code"	Count
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Arizona"	"04"	26
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"California"	"06"	94
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Colorado"	"08"	19
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Florida"	"12"	51
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Georgia"	"13"	24
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Illinois"	"17"	35
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Kentucky"	"21"	17
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Maryland"	"24"	26
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Massachusetts"	"25"	20
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Michigan"	"26"	23
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Missouri"	"29"	21
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Nevada"	"32"	Missing
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"New Jersey"	"34"	21
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"New York"	"36"	63
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"North Carolina"	"37"	33
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Ohio"	"39"	54
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Oregon"	"41"	16
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Pennsylvania"	"42"	50
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Texas"	"48"	104
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Virginia"	"51"	32
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Washington"	"53"	24
	"All Invasive Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Wisconsin"	"55"	18
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Alabama"	"01"	28
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Arizona"	"04"	77
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Arkansas"	"05"	25
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"California"	"06"	390
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Colorado"	"08"	55
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Connecticut"	"09"	31
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Florida"	"12"	237
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Georgia"	"13"	85
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Idaho"	"16"	26
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Illinois"	"17"	138
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Indiana"	"18"	64
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Iowa"	"19"	37
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Kansas"	"20"	33
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Kentucky"	"21"	45
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Louisiana"	"22"	52
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Maryland"	"24"	59
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Massachusetts"	"25"	58
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Michigan"	"26"	84
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Minnesota"	"27"	68
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Mississippi"	"28"	19
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Missouri"	"29"	61
	"All Invasive Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Nebraska"	"31"	25
